day oedema diet wt sd n
3 1 HP 1.1 11.5 37
6 1 HP 1.0 11.0 37
9 1 HP 1.2 8.4 37
12 1 HP -1.0 7.4 37
15 1 HP -0.9 3.2 37
18 1 HP -1.7 5.8 37
21 1 HP -1.7 4.8 37
24 1 HP -1.7 4.8 37
27 1 HP -1.7 5.3 37
30 1 HP -2.5 6.8 37
33 1 HP -1.3 8.4 37
3 2 HP 5.1 15.1 291
6 2 HP 5.1 13.4 291
9 2 HP 4.5 6.5 291
12 2 HP 5.2 9.9 291
15 2 HP 4.6 8.2 291
18 2 HP 5.1 13.4 291
21 2 HP 5.0 13.4 291
24 2 HP 5.2 15.1 291
27 2 HP 5.1 11.6 291
30 2 HP 5.0 9.2 291
33 2 HP 5.2 8.2 291
3 1 LP -3.0 15.7 65
6 1 LP -2.5 11.9 65
9 1 LP -2.0 13.7 65
12 1 LP 2.0 11.0 65
15 1 LP 2.1 13.2 65
18 1 LP 1.7 16.2 65
21 1 LP 4.0 11.0 65
24 1 LP 6.5 14.7 65
27 1 LP 6.4 10.2 65
30 1 LP 6.6 8.0 65
33 1 LP 6.5 11.0 65
3 2 LP 5.1 11.1 86
6 2 LP 6.0 8.2 86
9 2 LP 5.1 8.2 86
12 2 LP 6.5 11.9 86
15 2 LP 6.4 9.1 86
18 2 LP 5.9 13.8 86
21 2 LP 6.1 16.5 86
24 2 LP 4.0 9.1 86
27 2 LP 3.1 12.8 86
30 2 LP 4.0 7.3 86
33 2 LP 5.0 9.1 86
