AGE SEX        
 7 M 
42 M 
60 M 
60 F 
48 M 
60 F 
18 M 
48 M 
60 F 
36 M 
24 F 
60 M 
60 M 
48 F 
18 M 
60 M 
 6 M 
 7 M 
12 M 
60 M 
60 F 
60 M 
24 F 
 9 F 
36 M 
 6 F 
36 F 
60 M 
48 F 
42 F 
48 F 
 6 F 
36 F 
48 F 
36 F 
24 F 
14 F 
12 M 
24 F 
48 M 
14 F 
60 M 
60 F 
36 M 
12 M 
36 M 
18 F 
30 M 
60 M 
18 M 
36 M 
48 F 
36 F 
60 M 
36 M 
48 F 
48 F 
60 F 
36 F 
24 F 
60 F 
60 F 
36 M 
12 F 
18 M 
48 M 
18 F 
48 F 
36 M 
36 M 
60 F 
30 M 
60 F 
48 M 
48 M 
60 M 
30 M 
36 M 
60 F 
18 F 
38 F 
18 M 
60 M 
60 M 
36 F 
36 M 
18 F 
48 M 
24 M 
48 M 
18 F 
60 F 
 8 F 
18 M 
24 F 
48 F 
60 M 
48 F 
24 F 
24 F 
60 M 
60 M 
36 F 
18 M 
48 M 
12 M 
48 F 
 8 F 
60 M 
36 M 
18 F 
36 M 
42 F 
36 M 
30 M 
 6 F 
60 M 
18 F 
60 F 
24 M 
60 F 
36 M 
30 M 
36 M 
24 M 
48 M 
 9 F 
48 F 
30 M 
24 F 
60 F 
36 M 
48 F 
48 M 
12 M 
60 F 
60 F 
 8 M 
24 M 
48 F 
36 F 
24 M 
24 F 
36 F 
24 F 
24 F 
12 M 
26 M 
36 F 
24 M 
18 M 
36 F 
 7 F 
48 F 
 8 M 
23 M 
12 F 
48 M 
15 F 
36 F 
30 M 
60 F 
22 F 
18 M 
10 M 
36 F 
36 F 
8 M 
18 M 
24 F 
60 F 
36 F 
 9 F 
60 M 
54 F 
15 F 
36 F 
36 M 
24 M 
24 F 
60 F 
48 M 
18 F 
38 M 
36 F 
60 F 
18 F 
60 F 
36 M 
48 M 
36 M 
60 M 
36 F 
 9 F 
36 F 
18 M 
42 F 
36 M 
48 M 
36 M 
60 M 
12 M 
36 F 
 8 F 
60 M 
48 M 
36 F 
48 M 
18 F 
18 M 
 9 M 
36 M 
54 M 
12 M 
25 M 
 8 F 
10 F 
48 F 
54 M 
 9 M 
24 M 
30 M 
 9 M 
36 M 
24 F 
60 F 
60 M 
18 M 
36 F 
 9 M 
 8 M 
 9 F 
60 M 
36 M 
48 F 
36 M 
 6 M 
24 F 
48 F 
12 M 
18 F 
24 F 
48 F 
60 M 
36 F 
18 M 
24 M 
60 F 
36 F 
18 M 
 9 F 
24 F 
36 F 
18 M 
42 F 
60 F 
18 M 
 9 M 
36 M 
60 M 
15 F 
36 M 
 9 F 
36 M 
60 F 
24 F 
18 F 
60 F 
24 F 
30 F 
24 F 
26 F 
18 F 
18 M 
48 M 
 9 M 
40 F 
12 M 
30 F 
36 F 
36 M 
30 M 
 9 F 
36 M 
48 M 
24 M 
36 M 
60 M 
48 F 
30 M 
36 F 
12 M 
48 M 
60 M 
24 M 
12 F 
60 M 
36 M 
24 F 
36 F 
48 F 
18 F 
30 F 
30 F 
36 F 
60 M 
60 F 
36 M 
18 F 
48 M 
48 F 
36 F 
36 M 
18 F 
36 F 
18 M 
48 M 
60 M 
36 M 
24 F 
18 F 
30 F 
18 F 
48 M 
12 M 
48 F 
48 F 
36 F 
 7 M 
60 M 
15 F 
30 M 
10 M 
48 M 
36 F 
12 M 
48 M 
60 M 
24 F 
30 F 
 7 F 
60 M 
48 F 
60 M 
24 M 
12 F 
60 F 
48 M 
24 M 
60 M 
60 F 
17 F 
36 M 
60 M 
24 M 
48 F 
12 F 
60 M 
24 F 
12 M 
60 F 
36 F 
 6 M 
36 F 
18 M 
60 M 
48 M 
60 F 
12 M 
60 F 
48 F 
18 M 
36 M 
48 M 
30 F 
48 F 
18 F 
36 F 
18 F 
48 F 
60 M 
24 M 
48 M 
14 F 
60 M 
48 M 
48 F 
18 F 
42 M 
30 M 
42 M 
 6 F 
 9 F 
36 M 
48 F 
42 M 
12 M 
48 F 
48 F 
60 F 
13 F 
60 M 
36 M 
54 M 
24 M 
48 F 
60 F 
36 M 
60 F 
24 M 
48 M 
60 M 
48 M 
34 F 
24 F 
60 F 
36 M 
36 F 
24 M 
24 M 
42 F 
60 F 
24 M 
18 F 
24 F 
60 F 
18 F 
36 F 
30 M 
30 F 
18 F 
48 M 
15 M 
30 M 
30 M 
30 M 
24 F 
60 F 
