marital living ethnic
2 5 2
1 4 2
1 1 11
1 4 10
2 3 10
2 6 10
1 4 10
1 4 10
2 2 4
2 6 10
2 5 10
1 3 1
5 3 10
1 4 10
2 6 3
1 4 10
1 3 3
5 3 10
3 5 10
5 3 10
1 4 4
1 3 10
3 5 10
5 3 3
3 5 10
2 3 10
1 4 5
2 6 11
2 1 11
1 3 10
1 3 11
4 2 5
3 3 10
1 4 10
5 3 10
1 4 10
2 2 2
1 3 2
4 5 5
1 4 10
5 3 10
2 1 11
1 4 11
3 5 2
1 3 10
5 4 11
2 1 10
2 2 10
1 4 10
2 2 2
2 1 10
2 6 10
2 2 10
2 6 10
5 4 10
2 1 10
1 3 10
2 6 10
5 4 10
5 3 10
1 4 10
2 6 10
2 6 10
2 6 10
2 6 10
2 6 10
2 2 10
1 4 10
2 1 9
5 3 10
2 6 10
4 2 10
1 4 10
2 1 3
5 3 10
1 3 10
2 1 10
1 3 10
2 2 10
2 3 10
1 4 10
5 3 10
5 4 10
2 1 11
2 6 10
2 6 10
2 2 10
2 6 10
2 6 10
2 6 11
2 6 11
1 4 10
2 6 10
5 3 10
2 6 10
2 6 10
5 3 10
1 3 10
2 1 11
2 6 10
2 6 7
2 1 10
2 6 10
5 3 11
2 1 10
2 6 10
2 6 10
2 2 10
2 6 10
2 6 10
2 6 11
2 2 10
2 6 10
2 6 7
5 6 10
5 6 10
2 6 3
2 6 10
4 5 10
5 3 10
2 2 10
2 6 3
2 2 6
2 6 10
2 3 10
2 6 10
2 2 11
2 1 3
2 6 10
2 6 10
2 6 10
2 2 3
5 3 10
2 1 10
2 6 11
2 6 10
2 6 10
2 6 10
1 3 10
2 2 10
2 1 10
2 2 10
1 4 10
2 6 11
2 6 10
2 6 10
2 6 11
2 2 10
2 2 3
2 6 10
2 1 10
2 6 10
