htsex median sd        
65.01  7.1 0.70
65.02  7.0 0.70
65.51  7.3 0.80
65.52  7.1 0.70
66.01  7.4 0.70
66.02  7.3 0.80
66.51  7.6 0.80
66.52  7.4 0.70
67.01  7.7 0.70
67.02  7.5 0.70
67.51  7.8 0.70
67.52  7.7 0.80
68.01  8.0 0.70
68.02  7.8 0.70
68.51  8.1 0.70
68.52  8.0 0.80
69.01  8.3 0.80
69.02  8.1 0.80
69.51  8.4 0.70
69.52  8.2 0.70
70.01  8.5 0.70
70.02  8.4 0.80
70.51  8.7 0.80
70.52  8.5 0.80
71.01  8.8 0.70
71.02  8.6 0.80
71.51  8.9 0.70
71.52  8.8 0.80
72.01  9.1 0.80
72.02  8.9 0.80
72.51  9.2 0.80
72.52  9.0 0.80
73.01  9.3 0.70
73.02  9.1 0.80
73.51  9.5 0.80
73.52  9.3 0.90
74.01  9.6 0.80
74.02  9.4 0.90
74.51  9.7 0.80
74.52  9.5 0.90
75.01  9.8 0.80
75.02  9.6 0.90
75.51  9.9 0.80
75.52  9.7 0.90
76.01 10.0 0.80
76.02  9.8 0.90
76.51 10.2 0.90
76.52  9.9 0.90
77.01 10.3 0.90
77.02 10.0 0.90
77.51 10.4 0.90
77.52 10.1 0.90
78.01 10.5 0.80
78.02 10.2 0.90
78.51 10.6 0.80
78.52 10.3 0.90
79.01 10.7 0.80
79.02 10.4 0.90
79.51 10.8 0.80
79.52 10.5 0.90
80.01 10.9 0.80
80.02 10.6 0.90
80.51 11.0 0.90
80.52 10.7 0.90
81.01 11.1 0.90
81.02 10.8 0.90
81.51 11.2 0.90
81.52 10.9 0.90
82.01 11.3 0.90
82.02 11.0 0.90
82.51 11.4 0.90
82.52 11.1 0.90
83.01 11.5 0.90
83.02 11.2 0.90
83.51 11.6 0.90
83.52 11.3 0.90
84.01 11.7 0.90
84.02 11.4 0.90
84.51 11.8 0.90
84.52 11.5 0.90
85.01 12.1 1.10
85.02 11.8 1.00
85.51 12.2 1.10
85.52 11.9 1.00
86.01 12.3 1.10
86.02 12.0 1.00
86.51 12.5 1.20
86.52 12.2 1.10
87.01 12.6 1.10
87.02 12.3 1.10
87.51 12.7 1.10
87.52 12.4 1.10
88.01 12.8 1.10
88.02 12.5 1.10
88.51 12.9 1.10
88.52 12.6 1.10
89.01 13.0 1.10
89.02 12.7 1.10
89.51 13.1 1.10
89.52 12.8 1.10
90.01 13.3 1.20
90.02 12.9 1.10
90.51 13.4 1.20
90.52 13.0 1.10
91.01 13.5 1.20
91.02 13.2 1.20
91.51 13.6 1.20
91.52 13.3 1.20
92.01 13.7 1.20
92.02 13.4 1.20
92.51 13.9 1.30
92.52 13.5 1.20
93.01 14.0 1.20
93.02 13.6 1.20
93.51 14.1 1.20
93.52 13.7 1.20
94.01 14.2 1.20
94.02 13.9 1.30
94.51 14.3 1.20
94.52 14.0 1.20
95.01 14.5 1.30
95.02 14.1 1.20
95.51 14.6 1.30
95.52 14.2 1.20
96.01 14.7 1.30
96.02 14.3 1.20
96.51 14.8 1.30
96.52 14.5 1.30
97.01 15.0 1.30
97.02 14.6 1.30
97.51 15.1 1.30
97.52 14.7 1.30
98.01 15.2 1.30
98.02 14.9 1.40
98.51 15.4 1.40
98.52 15.0 1.30
99.01 15.5 1.40
99.02 15.1 1.30
99.51 15.6 1.30
99.52 15.2 1.30
100.01 15.7 1.30
100.02 15.4 1.40
100.51 15.9 1.40
100.52 15.5 1.40
101.01 16.0 1.40
101.02 15.6 1.30
101.51 16.2 1.50
101.52 15.8 1.40
102.01 16.3 1.40
102.02 15.9 1.40
102.51 16.4 1.40
102.52 16.0 1.40
103.01 16.6 1.50
103.02 16.2 1.50
103.51 16.7 1.40
103.52 16.3 1.40
104.01 16.9 1.50
104.02 16.5 1.50
104.51 17.0 1.50
104.52 16.6 1.50
105.01 17.1 1.50
105.02 16.7 1.40
105.51 17.3 1.50
105.52 16.9 1.50
106.01 17.4 1.50
106.02 17.0 1.50
106.51 17.6 1.50
106.52 17.2 1.50
107.01 17.7 1.50
107.02 17.3 1.50
107.51 17.9 1.60
107.52 17.5 1.60
108.01 18.0 1.50
108.02 17.6 1.50
108.51 18.2 1.60
108.52 17.8 1.60
109.01 18.3 1.50
109.02 17.9 1.50
109.51 18.5 1.60
109.52 18.1 1.60
110.01 18.7 1.70
110.02 18.2 1.60
